time(sec) , VMT_Front_Suspension/bush_lca_front:L/FX(N) , VMT_Front_Suspension/bush_lca_front:L/FY(N) , VMT_Front_Suspension/bush_lca_front:L/FZ(N) , VMT_Front_Suspension/bush_lca_front:L/TX(N*mm) , VMT_Front_Suspension/bush_lca_front:L/TY(N*mm) , VMT_Front_Suspension/bush_lca_front:L/TZ(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/FX(N) , VMT_Front_Suspension/bush_lca_rear:L/FY(N) , VMT_Front_Suspension/bush_lca_rear:L/FZ(N) , VMT_Front_Suspension/bush_lca_rear:L/TX(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/TY(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/TZ(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/FX(N) , VMT_Front_Suspension/bush_lwr_strut:L/FY(N) , VMT_Front_Suspension/bush_lwr_strut:L/FZ(N) , VMT_Front_Suspension/bush_lwr_strut:L/TX(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/TY(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/TZ(N*mm) , VMT_Front_Suspension/ball_lca_balljoint:L/FX(N) , VMT_Front_Suspension/ball_lca_balljoint:L/FY(N) , VMT_Front_Suspension/ball_lca_balljoint:L/FZ(N) , VMT_Front_Suspension/lower_control_arm:L/Displacement/X_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Y_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Z_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Angle/Roll_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Pitch_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Yaw_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Displacement/X_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Y_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Z_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Angle/Roll_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Pitch_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Yaw_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Velocity/X_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Y_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Z_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/X_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Y_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Z_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/X_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Y_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Z_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/X_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Y_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Z_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/X_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Y_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Z_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/X_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Y_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Z_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/X_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Y_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Z_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/X_RF_Global(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Y_RF_Global(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Z_RF_Global(rad/sec^2)
0 , 0.00146404697505837 , 0.00673279756218586 , -0.00380247472818233 , 0.000447003498382044 , -0.00400738963550568 , -0.00594348836354552 , 0.000813725259585886 , -0.00100222003750112 , 0.0013370120871063 , 0.000447003498382018 , -0.00400738963550573 , -0.0059434883635457 , -0.000451120915575366 , -0.00047958908793301 , -0.000602468157770371 , 0.000125368764120535 , 0.00116172982718128 , 0.0016059713704045 , -479.090462981652 , -325.979630912061 , -736.531646375931 , -1237.78353400474 , -591.235745936007 , -293.158198986893 , 0.0106989287165755 , 0.0111727950837416 , 0.00712914685678363 , 295.216465998073 , -591.235745935967 , 126.841801010818 , -8.32667268468867E-17 , 4.16333634234434E-17 , -5.55111512312578E-17 , 1.58172806991278E-32 , -9.05398138726259E-05 , 8.22590614366033E-15 , -3.23539423539977E-07 , -8.63491815481473E-14 , 4.89517778366837E-13 , -8333.33333 , -4.93070823832631E-11 , 0 , 2.07082133301316E-15 , -8.63385827008558E-14 , 4.89499412633289E-13 , 277967.105658528 , 190430.389568913 , 405218.184664898 , -6791.80813669147 , 127.358832240128 , 2156.31796934686 , 279943.00082874 , 190479.547876966 , 420561.306081132 , -6791.54212086237 , 113.717399515758 , 2156.4340257784
0.01 , -129.627379590294 , 3555.6552893272 , 2617.30713312504 , 43727.0407090144 , -7863.2837173498 , 14039.4438832761 , -289.077130167946 , 2406.52996040705 , 2284.62621451067 , 43727.0407090144 , -7863.28371734983 , 14039.4438832762 , 586.79692344606 , 1027.85574393167 , 9502.33842634884 , -447.479241213557 , 747.324335274608 , -58.8303109970648 , -862.559590218672 , 4827.87976585859 , -4645.56126380423 , -1235.75324298987 , -593.594440153824 , -277.067784633133 , 0.0106226443942412 , 0.0115812405123837 , 0.00715769648391683 , 215.134065267881 , -593.334243514012 , 142.663034629815 , -0.0982881408952043 , 0.0113353097322504 , 0.00160492930976122 , -348.012916480199 , -260.399852316494 , 2190.53063698433 , -13.4098590988875 , 1.95301921712797 , -1.40397412669073 , -8478.34868996925 , -236.901228651756 , 2244.68650238277 , -13.4128144102264 , 1.9110065189828 , -1.39127076821872 , -84934.2739433428 , 64994.1660727009 , 5634.21810196428 , 63.6151096868235 , 1.25816812085485 , -110.677907539198 , -83399.8732256717 , 64267.4255124202 , 11344.5495316404 , 58.5070026426598 , 6.76841413171841 , -105.886023315257
0.02 , 1392.57725367561 , -2313.21475085742 , 2225.00396987709 , 34123.8641137784 , -2981.81962024282 , -5519.24163646395 , 1939.53947295659 , 2400.23262943077 , 2866.81832588274 , 34123.8641137783 , -2981.81962024299 , -5519.24163646392 , 760.105811913731 , -42.9365873543869 , 11351.8179255625 , -1599.62112905745 , -3465.37882579265 , 110.471101987898 , 2354.22481416085 , 130.425697380929 , -6089.71037176849 , -1240.2118031307 , -593.080595289499 , -258.581448570083 , 0.0109640933770245 , 0.0114493607111351 , 0.00710834995968309 , 128.708826909496 , -592.715499882509 , 162.444007393058 , -0.208943949939318 , 0.0251496030384471 , -0.0098881787163919 , 27.8331285771088 , 159.78242637722 , 1417.66719264637 , -7.66383217572393 , 0.770163201099248 , 0.763736541697875 , -8251.5137046022 , 191.754049772833 , 1544.87522798185 , -7.73145744268659 , 0.850146194210156 , 0.74308506037762 , 138204.380385773 , -8205.55049074837 , -119482.272799635 , 821.397913486747 , -147.661681063968 , 316.888238083717 , 129048.61382119 , -6435.72881139661 , -111672.743000493 , 814.138174325127 , -135.264239801376 , 313.871610612164
0.03 , 544.593760840837 , -1229.23663288302 , 2582.74377475868 , 20094.2616329533 , -3779.86039789081 , 8241.66641658886 , 740.503807654498 , 370.29342160869 , 2741.55477510549 , 20094.2616329533 , -3779.86039789076 , 8241.66641658889 , 608.268333595528 , -624.185641214512 , 11929.7559549543 , -1821.27316104046 , -3021.94854025851 , -67.7371665699599 , 775.044923607031 , -246.141541083221 , -6479.05459754124 , -1238.67494367124 , -592.250811628212 , -250.689678489164 , 0.0119795146619373 , 0.0100954371277351 , 0.00728414616482446 , 47.0662605602031 , -591.547929253007 , 174.177429613356 , -0.257348537884504 , 0.0322749905693641 , -0.00697681660792719 , -202.70170300331 , -11.0594827157747 , 654.135253362177 , -1.96348103332166 , 0.340413610889825 , -0.56353062874224 , -8466.663603761 , 30.010027363967 , 848.304812641956 , -2.10049905872741 , 0.533242088863403 , -0.570807874929343 , -59572.1108389652 , -17480.7270088462 , -82168.1891183319 , 620.19061709542 , -62.6847582637407 , -85.1984154970256 , -61402.582395262 , -18096.7306257952 , -75736.4828760735 , 613.972487792592 , -50.235641687711 , -84.750946816883
0.04 , -32.1502996537303 , 404.067965046906 , 2248.37371460678 , 3191.81138091014 , 261.719299835287 , -3793.28540348434 , -97.5845903902046 , -154.676755172568 , 2086.86901813223 , 3191.81138091019 , 261.719299835326 , -3793.28540348433 , 508.251860972703 , -347.358753181832 , 9319.59943180081 , -1782.72719171824 , -3345.6036071359 , -36.0632778293612 , -593.686630312965 , 490.698183658879 , -4923.23986287295 , -1239.1331943927 , -592.630910156194 , -252.536113672957 , 0.0135348159315298 , 0.0075293703798403 , 0.00740731702348381 , -36.8912755669925 , -591.799472994858 , 178.653706396797 , -0.247333787586188 , 0.0333937955341984 , -0.00740441977861864 , 21.193095854426 , -55.2746027656444 , -136.68518575451 , 3.77996824495464 , -0.523965439565426 , 0.423639678732968 , -8262.26036150155 , -17.7289379938641 , 109.136938961764 , 3.61826813184649 , -0.208605047089996 , 0.399008194713143 , -21085.5233002598 , 47641.3297269326 , -61961.8643113935 , 424.392253029871 , -34.6550125314591 , -101.050289576461 , -19628.2561799099 , 47215.712829322 , -58156.2675016396 , 425.38166892069 , -23.4812878271801 , -102.859289471336
0.05 , 386.636299078338 , 539.934482442194 , 1582.90518038258 , -11656.0172118499 , 1228.72183519094 , 1519.37990825505 , 529.151253069036 , 1704.95186864754 , 1745.7786353445 , -11656.01721185 , 1228.72183519104 , 1519.37990825507 , 384.029315123066 , 119.390311086219 , 6321.24230908028 , -1339.91046334136 , -2558.53966491291 , 145.443590705692 , 512.300728090133 , 2098.29338938075 , -2927.19935330369 , -1238.92917318331 , -593.274195586341 , -262.306824671683 , 0.0150068568302421 , 0.00385887634791992 , 0.00758105818071983 , -120.525311036871 , -592.296634094217 , 176.93669839602 , -0.189935332581111 , 0.0300583158896239 , -0.00550495991926422 , -125.879506808003 , -86.427967824902 , -716.441097427506 , 7.7617014180225 , -0.958656455985358 , 0.164037114361156 , -8406.81245640516 , -60.4233438046232 , -446.206210635994 , 7.63284997574666 , -0.555488235542245 , 0.0890123293817821 , 10447.397292113 , 8966.37863413093 , -50535.3854473548 , 314.773058480056 , -45.5453276549858 , 49.5045033496739 , 9969.50357634305 , 7329.48912777199 , -49991.7493470486 , 320.714980889448 , -39.954077043779 , 45.7535097112977
0.06 , 391.900207803552 , 450.49606122862 , 1004.06585697567 , -20771.8582541512 , 2187.08842782558 , 2144.07393130916 , 554.326722858541 , 1776.0373809277 , 1212.965799388 , -20771.8582541511 , 2187.08842782565 , 2144.07393130911 , 248.922450649409 , 396.412325273434 , 3811.57829767652 , -704.889954535895 , -1473.97138428508 , 207.433911429425 , 722.459146641265 , 1814.22733245529 , -1621.28387467612 , -1238.61445146579 , -593.207881973526 , -277.111543743936 , 0.0159187732334968 , -0.00037386965578917 , 0.00786988160179091 , -204.346647301287 , -591.976080529468 , 170.595023197441 , -0.102424918521935 , 0.0235694407946569 , -0.00312581066754116 , -137.363390940455 , 131.405686165736 , -977.747543586583 , 9.19868828172904 , -1.11886570876658 , 0.144521809383085 , -8421.12815802115 , 136.924333478076 , -714.411366567845 , 9.14381250650718 , -0.695330810734764 , 0.00912590260799609 , -14077.8406015655 , 18763.1270992975 , 13259.35127649 , -110.259028617823 , 18.6306021351838 , -33.6086944223183 , -13993.7740363932 , 16846.7569782584 , 11342.2626570319 , -101.482572146499 , 18.4016196660226 , -33.9427957493577
0.07 , 706.606892720126 , -341.877668214263 , 714.981147795528 , -12075.1799110162 , 1271.67778793569 , 1410.89796266482 , 1016.27477879401 , 2210.99870489941 , 1133.57838494414 , -12075.1799110162 , 1271.6777879357 , 1410.89796266469 , 244.041155893555 , 546.453069453515 , 3143.61823664502 , -243.456678252292 , -985.33123415371 , 200.450881479486 , 1448.59633413241 , 1337.63279134275 , -1457.33488655618 , -1238.84008675764 , -591.978956694464 , -289.33278407336 , 0.0159511044531009 , -0.0045948674332006 , 0.00832229095686462 , -288.933018861527 , -590.187729048784 , 166.131818211669 , -0.0295884626177443 , 0.0189274760081716 , -0.00316878651604557 , -143.476011090149 , 198.770420696345 , -291.61189476697 , 4.66560523762697 , -0.579128431770216 , 0.191088040940044 , -8438.45400412722 , 199.970646350732 , -62.036973922639 , 4.70501380989424 , -0.17119514647733 , 0.0654087803680631 , 17996.1996105274 , -1706.34309936102 , 96303.2041166767 , -616.372870733394 , 65.7386509666732 , 41.1341582581282 , 17098.0290031628 , -587.998573665325 , 92108.7089577433 , -608.215947277346 , 64.1204987672186 , 48.8979398928142
0.08 , -173.449232697921 , 1184.42310016463 , 1217.15424055048 , 4639.84010878904 , -110.716368535236 , -2363.59490810663 , -294.692389178582 , 205.356023914491 , 1013.64803551578 , 4639.84010878899 , -110.716368535272 , -2363.59490810668 , 363.171868765794 , 869.777191721115 , 4621.85064633444 , -106.609646659795 , -530.488403506082 , 106.956890277512 , -822.414621191865 , 571.738817475083 , -2541.20435389366 , -1238.16107091701 , -591.557508583527 , -291.997268993053 , 0.015325319376109 , -0.00855118545390118 , 0.00892578869176996 , -372.647974098122 , -588.756229751041 , 170.139237782532 , -0.0131685599218553 , 0.0206707453142219 , -0.00172853824840645 , -69.5057029352884 , 45.0978815715317 , 653.638983180989 , -1.40360693184574 , 0.147682806246074 , 0.0980377789978752 , -8341.79742292957 , 61.0830727004976 , 853.550861748717 , -1.34019269650905 , 0.52548943482061 , 0.0676261223174663 , -5322.41347541571 , -17325.5168898886 , 75281.0514665216 , -487.272128413317 , 64.915649200251 , -45.4006586933476 , -870.115951294583 , -16043.1538853858 , 74009.0473803414 , -490.619669794379 , 60.7176139011857 , -34.3685692441099
0.09 , 93.4503077440327 , 1252.00478712069 , 1737.96127001549 , 10947.8401349119 , -1400.60551722261 , 990.047126557235 , 78.7301814437155 , 1122.46013341233 , 1638.64951056533 , 10947.8401349119 , -1400.60551722259 , 990.047126557179 , 534.899793252012 , 1162.89628322765 , 7032.08277199065 , -247.60315262122 , -415.480027958265 , 87.1164755684219 , -359.363374525785 , 1201.38942443939 , -3651.50279714595 , -1237.95147695089 , -592.30498370778 , -287.515734063392 , 0.014920135926664 , -0.0120987456710791 , 0.00940389063902491 , -456.288827435803 , -588.626027553846 , 180.78930314824 , -0.0403166408955781 , 0.0276202996410797 , -0.00261381684730903 , -145.541016708841 , -22.3261589230586 , 933.302695450202 , -3.11873844791666 , 0.398912015417035 , -0.17955474840352 , -8386.77710455172 , -2.68609892506519 , 1136.96374489966 , -3.11302179021869 , 0.746580599902298 , -0.148421796355106 , -3922.59580468677 , 2232.94604573358 , -7682.25807793802 , 66.2916665162821 , -7.17010392806848 , -1.65832615348385 , -3095.80788141542 , 1656.03973970447 , -6345.24763209026 , 60.1906870705562 , -8.96965889220876 , -1.75357500268852
0.1 , 381.147704233697 , 672.236626365985 , 1700.52195335643 , 4888.71877943782 , -806.628191401539 , 1561.28394663473 , 506.765533384055 , 1697.77936724245 , 1796.25078820798 , 4888.71877943776 , -806.628191401544 , 1561.28394663472 , 534.47590779908 , 1044.88066604447 , 7175.68132144284 , -397.520466918905 , -737.485103379125 , 138.408974790005 , 354.887261022411 , 1324.48139303359 , -3596.64476890329 , -1238.28545943384 , -592.702738925441 , -284.116004145856 , 0.015086587279962 , -0.0154631368043403 , 0.00973333524173979 , -540.190444941489 , -588.510411398972 , 190.602860237116 , -0.0609718147342484 , 0.0336025451715374 , -0.00408890340814898 , -144.893053829153 , 18.3207017255876 , 537.443235808801 , -0.581158023884555 , 0.082149372022963 , -0.0585526245298315 , -8391.6696077899 , 31.8648909806531 , 761.056254212479 , -0.628420505363701 , 0.415266848443046 , -0.0719768353330041 , 5020.48886748609 , 3713.16977105206 , -57696.2031467641 , 355.294920410253 , -45.7789673471166 , 26.9328022326222 , 2824.26863099617 , 3745.64872246237 , -55646.6746217754 , 350.901033972102 , -47.7326809629674 , 18.7067571332196
0.11 , 141.63936041882 , 528.172636185772 , 1250.89773967516 , -4609.64943077161 , 636.359146413559 , -339.842213530016 , 167.37005861238 , 734.638130095211 , 1242.23744876406 , -4609.64943077167 , 636.359146413521 , -339.842213530054 , 391.799674695361 , 811.803405897158 , 5205.37822524449 , -340.172243980401 , -743.1955750194 , 140.549671078667 , -84.0579074468361 , 445.386869553677 , -2654.43893219066 , -1238.2509262397 , -592.399638197791 , -285.791041671473 , 0.0157478542221449 , -0.0186870606358145 , 0.0099738347158787 , -623.783063731417 , -587.942448278114 , 195.620533364496 , -0.0512321057803293 , 0.035514760179647 , -0.00388758752297516 , -76.5411480530831 , 61.9660789646677 , 23.3789761205208 , 2.51632468815845 , -0.311438248250276 , 0.159449122603166 , -8338.66271789359 , 78.31678835766 , 256.145837099967 , 2.42900294322855 , -0.0110745539544391 , 0.0601784656058809 , 393.996201597684 , 2918.90616978954 , -43394.0269758599 , 243.718368796429 , -27.7619669235968 , -2.48790246247512 , -349.286571292016 , 2826.29847476851 , -43485.2203298348 , 239.876479329784 , -32.4257102693755 , -9.78056143442917
0.12 , 128.025024859889 , 481.223060254575 , 841.068556665477 , -12084.4433869317 , 1485.32264188001 , 19.118868921326 , 160.64163559269 , 745.46024427638 , 866.735015266381 , -12084.4433869317 , 1485.32264187998 , 19.1188689213217 , 264.041765836069 , 636.264098416913 , 3344.9575051046 , -100.250905252652 , -409.26600185266 , 86.3995652315497 , 20.818293380281 , 578.71123114704 , -1597.8232489089 , -1238.03190794761 , -591.611075651037 , -291.665774672464 , 0.0167369187103856 , -0.021543569798869 , 0.0102185312152345 , -707.2039809484 , -586.970704625777 , 196.156316665064 , -0.016597017055207 , 0.0339450419564808 , -0.00352581328737409 , -65.0168188710005 , 109.519557143379 , -346.396715557995 , 4.41607561293902 , -0.538155674991711 , 0.203887793941556 , -8336.06007012345 , 122.701724300974 , -130.629442500214 , 4.31406523887931 , -0.290530481229553 , 0.0345281185540793 , 2684.60604527307 , 6533.34220948497 , -28921.7314218638 , 135.202310769986 , -16.6337418985384 , 5.07137748090834 , 1710.4415696056 , 6318.54444244133 , -32287.7568629047 , 136.20531850341 , -21.8581574847775 , 0.900793897812552
0.13 , 108.401291486505 , 342.238261561358 , 514.181393851922 , -17518.9679950248 , 2150.10246310282 , -48.7236078631714 , 142.352853213946 , 619.438746493237 , 560.806448349414 , -17518.9679950248 , 2150.10246310285 , -48.7236078631967 , 163.351938462187 , 458.375679067428 , 1916.95532997642 , 227.716299663899 , 64.7423731672354 , -34.7589518932853 , 81.6752369048382 , 492.992975874337 , -820.869937808721 , -1237.72247160111 , -590.198881284872 , -299.85500481194 , 0.0176355877781266 , -0.0239042451376495 , 0.0104565246404188 , -790.522729755068 , -585.402154725931 , 193.359759148846 , 0.0321203967578527 , 0.0300980964021013 , -0.00323953084100947 , -39.453202430138 , 184.113473567043 , -576.504268002506 , 5.3297874314511 , -0.649901745543472 , 0.245780898287192 , -8324.68483712246 , 192.251984896588 , -406.044153712626 , 5.25706514903221 , -0.460072180153157 , 0.0408835016655057 , 3846.31569677033 , 7140.26643116175 , -16442.8512684604 , 39.1863266458682 , -5.66407140586936 , 5.38164594716027 , 2890.26714276999 , 6442.02503737707 , -21604.45542014 , 43.7300243077843 , -12.2586116777577 , 4.20906588951892
0.14 , 62.7673161050588 , 157.223617135675 , 367.729776898787 , -14593.3529836434 , 1840.40772973971 , -222.499237718191 , 79.6019770975823 , 294.273590237017 , 388.605564597309 , -14593.3529836434 , 1840.4077297397 , -222.499237718207 , 120.530866864771 , 376.802973527204 , 1339.70600827043 , 530.273204716156 , 503.467219758806 , -192.215951394757 , 18.3691072571747 , 78.4919323196277 , -668.977671528757 , -1237.36938542823 , -588.472910856198 , -307.505698036575 , 0.018097370106515 , -0.0256008285448905 , 0.0106942265949519 , -873.648905929548 , -583.462604414446 , 189.500653546338 , 0.0783082506039082 , 0.0259196691166148 , -0.00317284905632962 , -25.2213569581937 , 175.538564267568 , -379.064700671553 , 3.35319525685909 , -0.413398011208922 , 0.165486361841317 , -8297.51232283983 , 177.654378654257 , -258.495586525185 , 3.33971636538125 , -0.297189577715267 , 0.0175714292600809 , 382.137774070882 , -6264.33427522917 , 46739.2549490741 , -369.41385884038 , 44.0679800421848 , -14.7418040266698 , 3270.32817975341 , -6430.17756824526 , 42587.4030283358 , -362.880553817988 , 36.6353025030832 , -2.19477985477014
0.15 , 6.7603083891839 , -191.655773490429 , 501.112537732414 , -2946.28671949755 , 485.438233188422 , -449.287552645632 , -14.1738302775263 , -363.013435357929 , 441.0681673936 , -2946.28671949756 , 485.438233188428 , -449.28755264563 , 216.537730721426 , 690.648175098696 , 2361.79025702515 , 611.932886918471 , 648.129322833253 , -248.778637794251 , -227.890119318727 , -1224.21575557693 , -1525.00951066895 , -1237.2259168377 , -587.817542672888 , -309.611301888734 , 0.0179568566594027 , -0.026430759111271 , 0.0109993631008204 , -956.516754469338 , -582.367507873002 , 189.432702082941 , 0.0913760015271348 , 0.0250813533183399 , -0.00330783021138867 , -29.2154582383499 , 15.6146028671543 , 173.820305646825 , -0.934351075233646 , 0.104073609740478 , -0.0262908089832059 , -8272.68887384837 , 20.58030722418 , 269.730043806393 , -0.897707409092397 , 0.146042691044103 , -0.0232741692409661 , -14.0206959969369 , -17950.0850057058 , 51939.968802793 , -404.838176431723 , 49.4103944920444 , -19.9151531755768 , 2478.03761439392 , -17515.2493937959 , 50881.4360178659 , -401.536524257621 , 42.4534231907784 , -4.96544803752793
0.16 , 108.812154864904 , 10.4246743439344 , 1000.90263578201 , 5003.41087194274 , -624.935224607836 , 514.746285306787 , 115.55384228081 , 54.5816628425773 , 942.338703058804 , 5003.41087194272 , -624.935224607858 , 514.746285306783 , 415.673642841396 , 1273.47379297794 , 4658.63088050148 , 460.981980320113 , 506.623428975461 , -179.729496056239 , -185.294645688361 , -1213.57959513657 , -2738.44753703235 , -1237.38872041432 , -588.819312124375 , -305.743727515081 , 0.0174610191462522 , -0.0264762689426088 , 0.0112799717564128 , -1039.19847558882 , -582.80482948213 , 194.016478205602 , 0.0675928025963162 , 0.0281538227895478 , -0.00363682579947297 , -40.838841060301 , -90.6036817511741 , 466.074417973418 , -3.25575921166795 , 0.397776362783106 , -0.192676848670972 , -8270.70227959856 , -80.5270662584869 , 562.194950240728 , -3.20232164635883 , 0.389733875890037 , -0.0956383551443527 , -2269.93591957076 , -2302.74987095313 , 3858.26455328441 , -50.1642472422941 , 8.41345262806229 , -12.5569658512914 , -2162.55266169088 , -1937.85432131296 , 4700.33976069034 , -49.728749661532 , 4.28397081020491 , -9.32857648172938
0.17 , 338.810352864239 , 123.638081902519 , 1138.03804713544 , 3113.11878260755 , -529.711846086018 , 1157.27369738913 , 452.350850751733 , 1039.47249960748 , 1226.40060880079 , 3113.11878260756 , -529.711846085961 , 1157.27369738915 , 449.610755916211 , 1278.52774720724 , 5189.71975244218 , 267.350865243049 , 156.836288077266 , -60.4519064906452 , 336.181359536896 , -133.381992071145 , -2773.4547410857 , -1237.81797239789 , -589.934486689876 , -301.153103197023 , 0.0168737120686246 , -0.0260823737307192 , 0.011452205814328 , -1121.96002062617 , -583.435261273725 , 198.762632003721 , 0.039912034539568 , 0.0314057846430382 , -0.00446663390498217 , -26.1798086130337 , -45.4352351364404 , 230.123989245608 , -2.0131785263219 , 0.247849720407851 , -0.127446538782444 , -8272.5363101436 , -32.5451926421133 , 330.155609256367 , -1.9565471780486 , 0.203951069191391 , -0.0652408918872412 , 5646.92652599602 , 7667.71666123825 , -38695.9693990754 , 227.800390336046 , -29.2415706122233 , 21.8861050325517 , 2970.69627623348 , 7885.08613589624 , -39167.136744303 , 227.565788646831 , -31.8679626519037 , 14.2367585925681
0.18 , 177.476565843374 , 781.104677630765 , 1158.98617833412 , -3366.35201183847 , 468.694526140616 , -148.907979009972 , 218.759628990116 , 1115.52248990275 , 1168.71394730786 , -3366.3520118385 , 468.694526140622 , -148.907979009941 , 406.111402363011 , 1131.80008211336 , 4740.84296742711 , 210.886647227872 , 39.8072235742192 , -27.9052369088082 , -12.517198635634 , 745.746543391037 , -2360.81645893195 , -1237.87307775941 , -590.295397834756 , -299.810268623904 , 0.016371996517266 , -0.025514642980558 , 0.0115521592441209 , -1204.47685957979 , -583.404045339927 , 200.038006392921 , 0.0322171131446368 , 0.0318458738509957 , -0.00442466193463505 , 32.153124876849 , 24.2597875335962 , -161.522783711312 , 0.404509087423137 , -0.0538932871184437 , 0.0550104414438376 , -8235.43908607066 , 36.659897450958 , -80.8120478343613 , 0.445331863130335 , -0.114566883697494 , 0.0360649171285377 , 2145.83543130576 , 6885.95196412418 , -36791.9486764854 , 230.896120185775 , -26.4968318539582 , 4.63026579813973 , 446.827323382831 , 6775.48762253598 , -39395.9166094555 , 228.114977611131 , -28.4927858133303 , -2.59020890035646
0.19 , 151.55214458679 , 420.545337935552 , 746.140800353973 , -9133.21419333581 , 1107.98400177014 , 142.904919190194 , 195.548132191367 , 777.116585984111 , 781.972119658769 , -9133.2141933358 , 1107.98400177015 , 142.904919190226 , 264.66561170593 , 766.666591737273 , 3035.84038230335 , 304.999317033598 , 176.624186373066 , -70.1859120827645 , 79.0687435830909 , 425.6102852557 , -1475.6187547141 , -1237.70767405867 , -589.809295246513 , -302.020156616507 , 0.0160828204752661 , -0.0248172416165037 , 0.011575551712087 , -1286.86618472634 , -582.689277750127 , 197.463919646959 , 0.0463305128961009 , 0.0294388095871995 , -0.0042772603961553 , 43.6848264061135 , 92.0845313204679 , -463.342961433921 , 2.14885824974192 , -0.258635997969627 , 0.111585640132879 , -8238.78488874587 , 103.527827910988 , -418.933711687234 , 2.17558884328614 , -0.351259973538155 , 0.0345434541947617 , 2979.16426232807 , 5062.11207992094 , -23948.7651184273 , 117.07560011619 , -15.0254747916218 , 11.0861409383498 , 1684.5046757902 , 5034.05516834109 , -28520.5116935669 , 117.3693480555 , -18.9738121792936 , 6.81206481163091
